5. Fee and commission income,Column,Column,Column,Column
,,,2017,2016
,,,KShs.‘000,KShs.‘000
Fee,,,"49,837","100,113"
Commission received,,,"250,255","74,955"
,,,"300,092","175,068"
"6. Investment return
a) Investment income",,,,
,Group,,Company,
,2017,2016,2017,2016
,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
Rental income:,,,,
Gross rental income,"82,289","69,420",-,-
Net rental expenses,"(42,219)","(15,544)",-,-
,"40,070","53,876",-,-
Financial assets designated at fair value through profit or loss,,,,
- Interest income,"780,707","829,443",-,-
- Dividend income,"118,463","161,788",-,-
Interest income on held to maturity financial assets,"1,142,676","1,029,167",-,-
Interest income on loans to related parties,"13,483","21,775",-,-
Interest income on loans and receivables,"153,667","214,512",-,-
Interest income on cash and cash equivalents,"36,244","107,971",-,"1,197"
Total investment income,"2,285,310","2,418,532",-,"1,197"
