Column,CONDENSED STATEMENT OF CHANGES IN EQUITY,Column,Column,Column,Column
,,"Share
Capital
KShs’000","Retained
Earnings
KShs’000","Proposed
Dividend
KShs’000","Total
KShs’000"
Balance at 1 January 2021,,"24,000","166,781",-,"190,781"
Total recognized loss to December 2021,,-,"(9,555)",-,"(9,555)"
"Actuarial gain on post-employment
benefit obligation net of tax",,-,"1,064",-,"1,064"
Balance as at 31st December 2021,,"24,000","158,290",-,"182,290"
Balance at 1 January 2022,,"24,000","158,290",-,"182,290"
Total recognized profit for 2022,,-,"11,345",-,"11,345"
"Actuarial gain on post-employment
benefit obligation net of tax",,-,552,-,552
Dividends,,,,,
Proposed dividend for 2022,,-,"(6,000)","6,000",-
Balance as at 31st December 2022,,"24,000","164,187","6,000","194,187"
