CONDENSED STATEMENT OF CHANGES IN EQUITY,Column,Column,Column,Column
,"Share
Capital
Shs ‘000","Retained
Earnings &
reserves
Shs ‘000","Proposed
Dividend
Shs ‘000","Total
Shs ‘000"
Balance at 1 January 2016,"24,000","227,860","2,400","254,260"
Total recognized income for 2016,-,"4,373",-,"4,373"
Dividends,,,,
-Final Paid For 2015,,,-,-
-Proposed final for 2016,,-,-,
Balance as at 30th June 2016,"24,000","232,233",2400,"258,633"
Balance at 1 January 2017,"24,000","185,887",-,"205,712"
Total recognized income for 2017,-,"(4,506)",-,"4,373"
Dividends,,,,
-Final Paid For 2016,,,-,-
-Proposed interim for 2017,,-,-,
Balance as at 30th June 2017,"24,000",181.381,0,"205,382"
