Stakeholder,Platform/Tool,Frequency
Employees,Intranet,Continuously
,Cooperate website,Continuously
,Internal bulletins,Continuously
,Business cascade,Q uarterly
,Safety meetings,Weekly
,Annual celebrations,Continuously
"Board, Investors
and shareholders",Board meetings,Quarterly
,Board committee meetings,Quarterly
,Board Trainings,When required
,Annual general meeting,Annually
,Visits by shareholders,When required
,Performance review,Quarterly
"Regulators/
Authorities","Correspondences (letters, memos)",When required
,Topical forums,Continuously
,Face to face meetings,Continuously
,Organized meetings/Conferences,Continuously
,Annual statutory audit,Annually
,Corporate governance audit,Annually
