CONDENSED STATEMENT OF CHANGES IN EQUITY,Column,Column,Column,Column
,"Share
Capital
KShs’000","Retained
Earnings &
reserves
KShs’000","Proposed
Dividend
KShs’000","Total
KShs’000"
Balance at 1 January 2017,"24,000","181,712",-,"205,712"
Loss for 2017,-,"(22,134)",-,"(22,134)"
"Charge to other comprehensive income (Actuarial
gain net of tax)",-,"4,200",-,"4,200"
Balance as at 31 December 2017,"24,000","163,778",-,"187,778"
Balance at 1 January 2018,"24,000","163,778",-,"187,778"
Profit for 2018,-,"2,548",-,"2,548"
"Charge to other comprehensive income (Actuarial
gain net of tax)",-,"2,800",-,"2,800"
Dividends,,,,
Proposed Dividend 2018,-,"(2,400)","2,400",-
Balance as at 31 December 2018,"24,000","166,726","2,400","193,126"
