NAME,BALANCE,%
Harambee Co-operative Savings and Credit Society Ltd,"1,468,095",8.20
Kiambu Unity Finance Co-operative Union Ltd.,"1,409,824",7.88
Aembu Farmers Co-operative Society Ltd,"1,343,960",7.51
CIC Staff Co-operative Savings and Credit Society Ltd,"1,176,963",6.58
The Co-operative Bank of Kenya Ltd,"992,064",5.54
Bandari Co-operative Savings and Credit Society Ltd,"540,160",3.02
Banki Kuu Co-operative Savings and Credit Society Ltd.,"498,406",2.79
Afya Co-operative Savings and Credit Society Ltd.,"433,134",2.42
Mwalimu Co-operative Savings and Credit Society Ltd.,"257,269",1.44
Kipsigis Teachers Savings and Credit Society Ltd,"214,251",1.32
