Column,Board Meeting,Column,"Executive
Committee",Column,"Finance and
Investment Committee",Column,Audit Committee,Column
,(a),(b),(a),(b),(a),(b),(a),(b)
Japheth Magomere - Chairman,4,4,3,3,4,4,4,4
Rev. Peterson N Kagane - Vice-Chairman,4,4,3,3,4,4,,
Peter Munuhe (d),4,4,3,3,4,4,,
Edwin J Otieno,4,4,3,3,,,,
Peter k Nyigei (c ),4,1,,,,,4,1
Cornelius Ashira,4,4,,,4,4,,
Gordon Owuor,4,4,,,,,4,4
Joshuah Njoroge,4,4,3,3,,,4,4
Joseph P. Nyagah),4,4,,,,,4,4
Michael O Wambia,4,4,,,4,4,,
Jonah M Mutuku,4,4,,,,,4,4
