1,THE CO-OPERATIVE BANK OF KENYA LTD,Column,"578,380,600",35.71
2,CO-OPERATIVE BANK SAVINGS & CREDIT SOCIETY LTD,,"155,962,720",9.63
3,K-UNITY SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD,,"52,006,480",3.21
4,HARAMBEE CO-OPERATIVE,SAVINGS & CREDIT SOCIETY LTD,"29,361,900",1.81
5,EMBU FARMERS SAVINGS &,CREDIT CO-OPERATIVE SOCIETY LTD,"28,836,960",1.78
6,KIPSIGIS TEACHERS SAVING,S & CREDIT SOCIETY LTD,"24,803,540",1.53
7,FEP CO-OPERATIVE SAVING,S & CREDIT SOCIETY LTD,"24,000,000",1.48
8,BARINGO TEACHERS SAVIN,GS & CREDIT CO-OPERATIVE SOCIETY LTD,"21,778,520",1.34
9,H & M SAVINGS & CREDIT C,O-OPERATIVE SOCIETY LTD,"20,610,000",1.27
10,KENYA POLICE STAFF CO-O,PERATIVE SAVINGS & CREDIT SOCIETY LTD,"19,768,920",1.22
,TOTAL,,"955,509,640",59.00
