Name,Designation,Salary,Allowances,Retainer,"Sitting
Allowance",Honoraria,"Board
Expenses",Total
Tom Gitogo,GCEO,"52,168,291","21,087,241",-,-,-,-,"73,255,532"
Japheth Magomere,Chairman,,,"2,574,000","2,830,571","600,000","1,327,429","7,332,000"
Peter Nyigei,V/Chairman,,,"1,049,786","1,182,636","585,714","505,314","3,323,450"
Gordon Owuor,Director,,,"1,022,457","1,209,036","578,571","478,914","3,288,978"
Harrison Githae,Director,,,"1,042,257","1,355,886","585,714","492,114","3,475,971"
James Njue,Director,,,"1,022,457","1,055,586","578,571","478,914","3,135,528"
Jonah Mutuku,Director,,,"1,022,457","1,260,186","578,571","478,914","3,340,128"
Mary Mungai,Director,,,"982,857","821,286","571,429","465,714","2,841,286"
Micheal Wambia,Director,,,"1,022,457","1,362,486","578,571","478,914","3,442,428"
Philip Lopokoiyit,Director,,,"1,022,457","646,386","578,571","478,914","2,726,328"
Rosemary Githaiga,Director,,,"1,022,457","1,004,436","578,571","478,914","3,084,378"
Veronicah Lesenya,Director,,,"1,022,457","646,386","578,571","478,914","2,726,328"
Grand Total,,"52,168,291","21,087,241","12,806,099","13,374,881","6,392,854","6,142,969","111,972,335"
