NAME,BALANCE,%
Harambee Co-operative Savings and Credit Society Ltd,"1,468,095",9.06
Aembu Farmers Co-operative Society Ltd,"1,343,960",8.30
Kiambu Unity Finance Co-operative Union Ltd,"1,319,824",8.15
CIC Staff Co-operative Savings and Credit Society Ltd,"1,176,963",7.27
The Co-operative Bank of Kenya Ltd,"992,064",6.13
Bandari Co-operative Savings and Credit Society Ltd,"540,160",3.34
Mwalimu Co-operative Savings and Credit Society Ltd,"257,269",1.59
Kipsigis Teachers Savings and Credit Society Ltd,"214,251",1.32
Nacico Savings and Credit Co-operative Society,"177,777",1.10
Stima Savings and Credit Co-operative Society Ltd,"176,000",1.09
