Column,(a),(b),(a),(b),(a),(b),(a),(b)
Japheth Magomere (Chairman),11,11,10,10,-,-,-,-
Rev. Peterson N Kagane (Vice-Chairman),11,11,-,-,5,5,-,-
Harrison Hunyu*,11,8,10,10,-,-,-,-
Gordon Owuor,11,10,10,10,-,-,-,-
Michael Wambia,11,11,-,-,-,-,3,3
Jonah Mutuku,11,11,10,10,-,-,-,-
Peter Nyigei,11,11,-,-,-,-,3,3
Stella Kaimenyi,11,10,10,10,-,-,-,-
Rosemary Majala,11,9,-,-,5,3,-,-
Grace Mabishi,11,11,-,-,,-,3,3
Veronicah Leseya,11,10,-,-,,-,-,-
Nelson Kuria,11,11,10,10,5,5,-,-
Joshuah Njoroge**,11,3,-,-,5,2,-,-
