Group,2017,2016
,Kshs’000,Kshs’000
Total borrowings (Note 34),"28,077,640","26,648,750"
Less: cash and bank balances (Note 33(b)),"(3,907,473)","(1,221,066)"
Net debt,"24,170,167","25,427,684"
Total equity,"11,988,171","10,867,246"
Total capital,"36,158,338","36,294,930"
Gearing ratio,66.85%,70.06%
Company,2017,2016
,Kshs’000,Kshs’000
Total borrowings (Note 34),"26,969,605","26,024,235"
Less: cash and bank balances (Note 33(b)),"(1,927,851)","(35,437)"
Net debt,"25,041,754","25,988,798"
Total equity,"20,138,708","16,047,512"
Total capital,"45,180,462","42,036,310"
Gearing ratio,55.43%,61.82%
