Column,2017,2016
Current liabilities,Kshs'000,Kshs'000
Payables to subsidiaries,,
UDV (Kenya) Limited,"4,422,995","2,274,513"
Kenya Breweries Limited,"3,064,349","2,861,856"
East African Breweries Limited International,"2,514,026","6,709,963"
East Africa Maltings (Kenya) Limited,-,"3,131"
Serengeti Breweries Limited,-,"67,677"
,"10,001,370","11,917,140"
Payables to related parties,,
Diageo Great Britain Ltd,"123,302",-
Diageo Finance plc,"15,125","6,161"
"Diageo North America, Inc","14,089",-
Diageo Scotland Limited,"1,049","2,815"
Guinness Ghana Breweries,204,369
Diageo Uzeltiveti Szolgal,162,"1,813"
Diageo Brands B.V.,4,4
Guinness Cameroun S.A.,-,"42,094"
Guinness Nigeria Plc,-,"17,843"
Diageo Americas Supply,-,"11,103"
Diageo plc,-,"6,575"
Diageo Ireland,-,"4,688"
Other related parties,-,"9,186"
,"153,935","102,651"
Total current liabilities,"10,155,305","12,019,791"
Long term debt,,
Loan from Diageo Finance Plc,"11,469,236","11,469,236"
