Column,2017,2016
,Kshs'000,Kshs'000
Group,,
Movement in trade and other receivables,,
Movement per statement of financial position,"1,644,146","(2,458,333)"
Non cash transactions (receivable on sale of leasehold land),-,"1,247,000"
Proceeds received from sale of leasehold land,"(994,500)",-
Foreign currency translation differences,"(41,437)",-
Net movement in receivables as per cash flow,"608,209","(1,211,333)"
Movement in trade and other payables,,
Movement per statement of financial position,"(1,033,749)","7,778,478"
Non cash transactions (tax provisions),-,"(1,064,000)"
Movement in net assets of disposal of business,,"451,301"
Foreign currency translation differences,"909,067",-
Net movement in payables as per cash flow,"(124,682)","7,165,779"
Company,,
Movement in receivables and prepayments,,
Movement per statement of financial position,"(961,441)","679,183"
Adjusted for:,,
Non cash transactions (receivable on sale of leasehold land),-,"1,277,000"
Proceeds received from disposal of property,"(994,500)",-
Movement in intercompany funding,"591,634",-
Net movement in receivables as per cash flow,"(1,364,307)","1,956,183"
Movement in non cash items in current tax,,
Release of prior year overprovision,"786,122",-
Net movement in receivables as per cash flow,"786,122",-
