Column,Year ended 30 June,Column
,2017,2016
,Kshs ‘000,Kshs ‘000
Profit for the year,"8,514,568","10,270,813"
"Other comprehensive income, net of tax:",,
Items that may be reclassified to profit or loss,,
Exchange differences from translation of net foreign operations,"(788,612)","(2,177,026)"
Total comprehensive income for the year,"7,725,956","8,093,787"
Total comprehensive income for the year attributable to:,,
Equity holders of the Company,"7,032,965","7,477,159"
Non-controlling interest,"692,991","616,628"
Total comprehensive income for the year,"7,725,956","8,093,787"
