Column,2017,2016
,Kshs ‘000,Kshs ‘000
Profit before income tax,"13,307,333","13,618,940"
Tax calculated at the statutory income tax rate of 30% (2016 - 30%),"3,992,200","4,085,682"
Tax effects of:,,
Expenses not deductible for tax purposes,"580,802","1,212,605"
Income not subject to tax,-,"(274,695)"
Deferred income tax asset not recognised,"591,894",-
(Over)/under provision of current income tax in prior year,"(484,345)","1,000,584"
Under/(over) provision of deferred tax in prior year,"112,214","(426,621)"
Income tax expense,"4,792,765","5,597,555"
