At 30 June 2016,"UDV (Kenya)
Limited","Serengeti
Breweries
Limited","Other
Subsidiaries",Total
,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Non-controlling interest percentage,53.68%,49%,1% - 1.8%,
Non-current assets,"1,245,701","8,742,003","5,012,040",
Currents assets,"5,547,314","2,218,858","4,677,385",
Non-current liabilities,"70,717","(11,371,058)","(1,647,246)",
Current liabilities,"(3,374,715)","(4,301,148)","(5,000,381)",
Net assets/(liabilities),"3,489,017","(4,711,345)","3,041,798",
Carrying amount of non-controlling interest,"1,872,904","(2,308,559)","19,486","(416,169)"
Revenue,"12,768,274","7,167,143","11,255,021",
Profit/(loss),"2,497,519","(1,462,458)","(728,948)",
Total comprehensive income,"2,497,519","(1,462,458)","(728,948)",
In respect on non-controlling interest,"1,340,668","(716,604)","(3,958)","620,106"
Cash generated from/(used in) operating activities,"2,161,067","(845,883)","(1,697,270)",
Cash used in investment activities,"(765,442)","(508,669)","(908,230)",
Cash generated from/(used in) Financing activities,"(1,276,391)","1,786,694","165,063",
Net increase/(decrease) in cash and cash equivalents,"119,234","432,142","(2,440,437)",
