Column,"UDV (Kenya)
Limited","Serengeti Breweries
Limited",Other Subsidiaries,Total
,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Non-controlling interest percentage,53.68%,49%,1% - 1.8%,
Non-current assets,"1,947,565","8,498,407","5,271,414",
Currents assets,"7,691,502","2,477,831","5,770,767",
Non-current liabilities,"90,231","(12,002,326)","4,840,746",
Current liabilities,"(4,363,973)","(5,706,024)","(5,727,413)",
Net assets/(liabilities),"5,365,325","(6,732,112)","10,155,514",
Carrying amount of non-controlling interests,"2,880,106","(3,298,735)","21,226","(397,403)"
Revenue,"14,758,986","6,226,706","11,694,593",
Profit/(loss),"3,132,374","(1,706,107)","(711,591)",
Total comprehensive income,"3,132,374","(1,706,107)","(711,591)",
In respect on non-controlling interests,"1,681,458","(835,992)","(7,930)","837,536"
Cash generated from operating activities,"2,954,149","1,324,268","893,324",
Cash used in investment activities,"(909,825)","(511,476)","(841,755)",
Cash (used in) / generated from financing activities,"(1,256,063)","(52,712)","1,516,775",
Net increase in cash and cash equivalents,"788,261","760,080","1,568,344",
