Column,2018,2017
,Kshs’000,Kshs’000
Receivables from related parties,,
Diageo Southern Africa Markets (Pty) Limited,"105,639","73,760"
Guinness Cameroun S.A.,"51,971","8,129"
Guinness Nigeria plc,"23,838","21,490"
Diageo Great Britain Limited,"23,104","11,320"
Diageo Supply Marracuene Limitada,"9,482","23,224"
Meta Abo Brewery Share Company,"7,529","180,646"
Diageo South Africa (Pty) Limited,"5,031","18,690"
Diageo Ireland,"4,702","176,767"
Diageo Mozambique Limitada,-,"10,517"
"Diageo North America, Inc",-,"42,317"
Diageo Brands B.V.,-,"10,840"
Other related parties,"21,676","40,954"
,"350,966","718,992"
Payables to related parties,,
Diageo Ireland,"444,579","84,156"
Diageo Great Britain Limited,"397,215","118,528"
Diageo Finance plc,"102,752","123,302"
Diageo Brands B.V.,"108,191","84,902"
"Diageo North America, Inc","66,312","74,049"
Diageo Business Services Hungary,"12,943","21,062"
Diageo Business Services India,-,"16,060"
Guinness Nigeria plc,-,"2,602"
Other related parties,"20,874","4,243"
,"1,152,866","528,904"
Long term debt,,
Loan from Diageo Finance Plc,"11,469,236","11,469,236"
