Year ended 30 June 2017:,At 1 July 2016,"Prior year (over)/
under provision","Charged/ (credited) to
income statement","At 30 June
2017"
,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Deferred income tax liabilities,,,,
"Property, plant and equipment","8,300","1,701","6,286","16,287"
Unrealised exchange gains,"52,758","(52,914)","12,216","12,060"
Deferred income tax liabilities,"61,058","(51,213)","18,502","28,347"
Deferred income tax assets,,,,
Unrealised exchange losses,"(121,876)","52,914","68,298",(664)
Provisions,"(147,239)",-,"(144,392)","(291,631)"
Tax losses,"(1,444,575)","81,715","202,576","(1,160,284)"
Deferred income tax assets,"(1,713,690)","134,629","126,482","(1,452,579)"
Net deferred income tax,"(1,652,632)","83,416","144,984","(1,424,232)"
