Column,2017,2016
,Kshs'000,Kshs'000
Non-current assets - Due from related parties,,
Serengeti Breweries Limited,"15,306,176","12,117,748"
Uganda Breweries Limited,"1,954,853","1,381,868"
East Africa Maltings Limited,"1,742,662","1,742,662"
East African Beverages South Sudan Limited,"1,433,287","1,433,287"
,"20,436,978","16,675,565"
Current assets,,
Receivables from subsidiaries,,
Kenya Breweries Limited,"1,562,673","467,486"
East Africa Maltings (K) Limited,"914,880","1,019,426"
East African Beverages South Sudan Limited,"163,711","1,606"
UDV (Kenya) Limited,"55,628","88,276"
Serengeti Breweries Limited,"8,296","2,916,939"
Uganda Breweries Limited,"7,287","110,828"
,"2,712,475","4,604,561"
Receivables from related parties,,
Diageo Great Britain Limited,"158,616",87
"Diageo North America, Inc","82,274","93,024"
Diageo Reunion SA,"73,760","26,009"
Diageo Scotland Limited,"51,376",-
Diageo Southern Africa,"23,224","23,083"
Diageo Supply Marracuene,"18,690",-
Guinness Cameroun S.A.,"11,302","133,301"
Guinness Nigeria Plc,"10,840",-
Meta Abo Breweries,"10,517","10,454"
Seychelles Breweries Limited,"9,359","7,518"
Guinness Ghana Breweries Limited,"7,796","311,697"
Diageo Ireland,"7,244",-
Diageo plc,"6,238","8,138"
Diageo Business Services Hungary,"6,065","5,443"
Diageo Angola Limitada,"3,708",188
Diageo Mozambique Limitada,"2,873","15,600"
Other related parties,"2,010","8,061"
,"485,892","642,603"
Total current assets,"3,198,368","5,247,164"
