"Freehold
property","Leasehold
buildings","Plant &
equipment","Returnable
packaging","Capital
work in
progress",Column
,,,,,Total
Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,
"4,987,211","2,975,610","40,394,764","13,630,309","11,831,797",
-,"46,694","720,768","1,563,812","9,345,690",
"91,524","2,670,269","9,748,924","1,137,516","(13,648,233)",
-,-,"(422,535)",-,-,
-,-,-,-,"(262,698)",
-,-,-,"(1,713,075)",-,
"5,863","50,768","489,348","120,697","67,324",
"5,084,598","5,743,341","50,931,269","14,739,259","7,333,880",
"1,068,031","925,211","19,062,631","7,399,974",-,
"106,984","75,431","2,112,960","1,431,036",-,
-,-,"(386,922)",-,-,
-,-,-,"(1,276,037)",-,
"3,433","13,441","186,121","72,242",-,
"1,178,448","1,014,083","20,974,790","7,627,215",-,
"3,906,150","4,729,258","29,956,479","7,112,044","7,333,880",
