Column,"Freehold
property","Leasehold
buildings","Plant and
equipment","Motor
vehicles","Returnable
packaging","Capital work
in progress",Total
,Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000
Cost,,,,,,,
1 July 2016,"4,267,901","3,352,209","36,026,391","158,922","14,178,725","3,022,938","61,007,086"
Additions,"172,568","31,430","805,393",-,"886,331","3,766,788","5,662,510"
Disposals,"(191,102)","(378,391)","(345,400)","(74,395)","(1,241,994)","(63,116)","(2,294,398)"
Transfers from work in progress,"363,271","48,429","1,556,323",-,"271,102","(2,554,392)","(315,267)"
Assets written off,-,-,-,-,"(439,283)",-,"(439,283)"
Effect of exchange rate changes,(948),"(6,081)","315,590","(2,901)","174,935","381,574","862,169"
At 30 June 2017,"4,611,690","3,047,596","38,358,297","81,626","13,829,816","4,553,792","64,482,817"
Depreciation,,,,,,,
At 1 July 2016,"985,215","868,115","16,230,959","138,292","7,177,697",-,"25,400,278"
On assets disposed,"(63,142)","(99,652)","(225,855)","(74,290)","(604,219)",-,"(1,067,158)"
On Assets written off,-,-,-,-,"(371,530)",-,"(371,530)"
Charge for the year,"82,445","128,478","1,689,927","(8,304)","1,435,623",-,"3,328,169"
Effect of exchange rate changes,"(1,301)","(2,552)","(99,982)","(1,553)","(19,000)",-,"(124,388)"
At 30 June 2017,"1,003,217","894,389","17,595,049","54,145","7,618,571",-,"27,165,371"
Carrying amount at 30 June 2017,"3,608,473","2,153,207","20,763,248","27,481","6,211,245","4,553,792","37,317,446"
