Name,Nationality,Date of appointment
Dr. Martin Oduor-Otieno* – Group Chairman,Kenyan,May 2016
Mr. John O’Keeffe1** - Former Group Vice Chairman,Irish,July 2015
Mr. Dayalan Nayager** - Group Vice Chairman,South African,March 2021
Ms. Jane Karuku*** (Group Managing Director and CEO),Kenyan,September 2013
Mr. Japheth Katto*,Ugandan,February 2014
Ms. Carol Musyoka*,Kenyan,September 2015
Mr. Jimmy Mugerwa*,Ugandan,July 2018
Mr. John Ulanga *,Tanzanian,June 2019
Mr. Leo Breen**,British,January 2020
Ms. Risper Ohaga*** (Group Chief Financial Officer),Kenyan,May 2020
Ms. Ory Okolloh*,Kenyan,October 2020
