laRgEST 10 SHaREHOlDERS aS aT 30TH JUNE 2008
"Name No. of shares %
1 Diageo Kenya Limited 338,618,340 42.82%
2 Board of Trustees NSSF Board 37,103,520 4.69%
3 Diageo Holdings Netherlands B.V. 35,952,396 4.55%
4 Guinness Overseas Ltd 20,628,804 2.61%
5 Barclays Bank Kenya Nominee Ltd. A/c 9011 19,522,532 2.47%
6 Stanbic Nominees Kenya Ltd - A/c NR 70001 19,045,638 2.41%
7 Barclays (K) Nominees Ltd A/c 9326 12,648,354 1.60%
8 Barclays (K) Nominees Ltd Non Resident A/c 9002 10,752,818 1.36%
9 Kenya Reinsurance Corporation Ltd 8,832,088 1.12%
10 Kanaksinh Karsandas & Kusum Kanaksinh Babla Babla 7,475,392 0.95%"
"TOTal NUMBER OF SHaRES 510,579,882 64.58%"
"OTHER SHaREHOlDERS 26,878 280,194,474 35.42%"
"SHaRES iSSUED 790,774,356 100.00%"
