Column,2017,2016
,Kshs ‘000,Kshs ‘000
(a) Group,,
Other income,,
Transactional foreign exchange gains,"1,205,986",-
"Profit on disposal of property, plant and equipment (Note 33(a))",-,"1,077,587"
Sundry other income,"381,721","615,171"
,"1,587,707","1,692,758"
Other expenses,,
Sundry expenses,"1,578,382","933,208"
Impairment of goodwill (Note 24),"284,687",-
Write down of inventories,"225,274","292,606"
"Profit on disposal of property, plant and equipment (Note 33(a))","212,965","95,674"
Impairment losses on trade receivables,"210,505","113,636"
Write-off of returnable packaging,"67,755","84,443"
Impairment of investments,"33,195",-
Transactional foreign exchange losses,-,"435,730"
,"2,612,763","1,955,297"
,"(1,025,056)","(262,539)"
(b) Company,,
Other income,,
Net transactional foreign exchange gains,-,"331,387"
"Profit on disposal of property, plant and equipment",-,"1,077,587"
Profit on disposal of business,-,"2,249,428"
,-,"3,658,402"
Other expenses,,
Withholding tax irrecoverable,"580,942","249,132"
Net transactional foreign exchange losses,"51,130","211,813"
Other expenses,"272,695","471,509"
,"904,767","932,454"
,"(904,767)","2,725,948"
