Column,2017,2016
(a) Group,Kshs’000,Kshs’000
At the beginning of the year,"1,303,190","2,650,215"
Credit/(charge) to profit or loss,"335,862","(1,056,014)"
Under provision of deferred tax in prior year,"112,214","20,679"
Effect of change in exchange rates,"40,144","(311,690)"
At the end of the year,"1,791,410","1,303,190"
Analysed as follows:,,
Deferred income tax liabilities,"5,095,988","5,240,593"
Deferred income tax assets,"(3,304,578)","(3,937,403)"
At the end of the year,"1,791,410","1,303,190"
(b) Company,,
At the beginning of the year,"(1,652,631)","(961,741)"
Credit/(charge) to profit or loss,"83,416","(705,300)"
Prior year under provision,"144,983","14,409"
Total deferred income tax movement,"228,399","(690,891)"
At the end of the year,"(1,424,232)","(1,652,631)"
