Column,"Freehold
property","Leasehold
buildings","Plant and
equipment","Capital work
in progress",Total
,Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000
Cost,,,,,
1 July 2015,"162,305","41,420","333,729","280,839","818,293"
Additions,-,-,-,"262,144","262,144"
Disposals,"(325,264)",-,"(68,957)","(147,435)","(541,656)"
Transfers from work in progress,"6,250",-,"111,484","(117,734)",-
Reclassifications,-,-,"45,340","(45,340)",-
Transfers to intercompany,"331,609",70,"45,093",-,"376,772"
At 30th June 2016,"174,900","41,490","466,689","232,474","915,553"
Depreciation and impairment,,,,,
At 1 July 2015,-,"18,950","176,152",-,"195,102"
Additions,-,-,-,-,-
On assets disposed,"(134,874)",-,"(29,369)",-,"(164,243)"
Transfers to intercompany,"146,719",-,"22,026",,"168,745"
Charge for the year,-,"1,903","52,319",-,"54,222"
At 30th June 2016,"11,845","20,853","221,128",-,"253,826"
Carrying amount at 30th June 2016,"163,055","20,567","245,630","232,474","661,727"
