Column,2018,2017
,Kshs’000,Kshs’000
Profit before income tax,"11,741,810","13,307,333"
Adjusted for:,,
Interest income (Note 12),"(81,949)","(81,686)"
Interest expense (Note 12),"3,441,067","3,255,402"
Depreciation (Note 21 (a)),"3,495,415","3,328,169"
Share based payments,"14,584",-
"(Profit) / loss on disposal of property, plant and equipment","(699,098)","212,965"
"Write off of property, plant and equipment","404,406","67,753"
Impairment of goodwill (Note 23),-,"284,687"
Fair value movement on derivative financial instruments,"71,946",-
Amortisation of intangible asset - software (Note 22 (a)),"149,249","101,788"
Amortisation of prepaid operating lease rentals (Note 24 (a)),816,363
Cash generated from operations before working capital adjustments,"18,538,246","20,476,774"
Changes in working capital:,,
-Trade and other receivables,"15,015","608,209"
-Inventories,"(568,417)","563,305"
-Trade and other payables,"3,732,452","(124,682)"
Cash generated from operations,"21,717,296","21,523,606"
