Column,Year ended 30 June,Column
,2018,2017
,Kshs ‘000,Kshs ‘000
Profit for the year,"7,255,555","8,514,568"
"Other comprehensive income, net of tax:",,
Items that may be reclassified to profit or loss,,
Exchange differences from translation of net foreign operations,"(865,067)","(788,612)"
Total comprehensive income for the year,"6,390,488","7,725,956"
Total comprehensive income for the year attributable to:,,
Equity holders of the Company,"4,873,315","7,032,965"
Non-controlling interests,"1,517,173","692,991"
Total comprehensive income for the year,"6,390,488","7,725,956"
