East African Breweries Limited
Financial Report for the year ended 30 June 2011 (Audited)
Consolidated Profit and Loss Account
"Year ended Year ended
30-Jun-11 30-Jun-10
Kshs M Kshs M Change %
Net Revenue 44,895 38,679 16%
Cost of Sales (22,831) (19,537) 17%"
"Gross profit 22,064 19,142 15%
Other operating income / (expense) 321 (474) 168%
Selling and distribution costs (3,491) (2,570) 36%
Administrative expenses (6,481) (4,842) 34%"
"Profit from operations 12,412 11,256 10%
Net finance (cost) / income (163) 169 -196%
Income from associate - 1,144 -100%"
"Profit before taxation 12,249 12,569 -3%
Income tax expense (3,235) (3,731) -13%"
"Profit after taxation 9,014 8,838 2%
Minority interest (1,661) (1,659) 0%"
"Net profit 7,353 7,179 2%"
"Basic earnings per share 9.30 9.08 2%
Diluted earnings per share 9.30 9.08 2%"
