Column,2018,2017
,Kshs’000,Kshs’000
Payables to subsidiaries,,
Kenya Breweries Limited,"9,577,351","3,064,349"
UDV (Kenya) Limited,"4,558,847","4,422,995"
EABL international limited,"2,659,896","2,514,026"
East African Maltings Limited,"8,796",-
Employee Share Ownership Plan (ESOP),"5,343",-
East African Breweries (Rwanda) Limited,"1,152",-
,"16,811,385","10,001,370"
Payables to related parties,,
Diageo Great Britain Limited,"102,752","123,302"
Diageo Americas Supply,"12,943","15,125"
Diageo Finance plc,-,"14,089"
Other related parties,"16,164","1,419"
,"131,859","153,935"
Total current liabilities,"16,943,244","10,155,305"
