Column,"Country of
incorporation","Effective
ownership
interest","Book value
as at 30 June",Column
,,,30-Jun-17,30-Jun-16
,,,Kshs'000,Kshs'000
Kenya Breweries Limited,Kenya,100%,"22,377,809","22,377,809"
Serengeti Breweries Limited,Tanzania,51%,"4,942,998","4,942,998"
Uganda Breweries Limited,Uganda,98%,"687,648","687,648"
East African Breweries (Mauritius) Limited,Mauritius,100%,-,-
UDV (Kenya) Limited,Kenya,46%,"589,410","589,410"
EABL International Limited,Kenya,100%,"150,000","150,000"
International Distillers Uganda Limited,Uganda,100%,"300,000","300,000"
EABL Tanzania Limited,Tanzania,100%,"5,610","5,610"
East African Beverages (South Sudan) Limited,South Sudan,99%,299,299
Salopia Limited,Kenya,100%,200,200
East African Maltings (Kenya) Limited,Kenya,100%,-,-
East African Maltings (Uganda) Limited,Uganda,100%,-,-
Allsopps (EA) Sales Limited,Kenya,100%,3,3
Kenya Liquor Distributors Limited,Kenya,100%,-,-
Harp Distributors Limited,Kenya,100%,-,-
International Distillers Kenya Limited,Kenya,100%,-,-
Kenya Distillers Limited,Kenya,100%,-,-
Gilbey’s East Africa Limited,Kenya,100%,-,-
Net book amount,,,"29,053,977","29,053,977"
