Column,2018,2017
(a) Group,Kshs'000,Kshs'000
Cost,,
At 1 July,"1,927,111","1,650,241"
Additions,"2,627","31,388"
Disposals,-,"(69,275)"
"Transfer from property, plant and equipment (Note 21(a))","41,013","315,268"
Effect of exchange rate changes,"(26,752)",(511)
At end of the year,"1,943,999","1,927,111"
Amortisation,,
At 1 July,"1,364,296","1,227,630"
Charge for the year,"149,249","101,788"
Effect of exchange rate changes,"(11,143)","34,878"
At end of the year,"1,502,402","1,364,296"
Net book value,"441,597","562,815"
(b) Company,,
Cost,,
At 1 July,"1,480,923","1,412,475"
Additions,"2,627","7,607"
Disposals,-,"(69,275)"
Transfer from property and equipment (Note 21(b)),"1,858","130,116"
At end of the year,"1,485,408","1,480,923"
Amortisation,,
At 1 July,"1,198,379","1,139,847"
Charge for the year,"80,602","58,532"
At end of the year,"1,278,981","1,198,379"
Net book value,"206,427","282,544"
