Column,2017,2016
(a) Group,Kshs’000,Kshs’000
Trade receivables,"6,815,831","6,543,762"
Less: provision for impairment losses,"(822,526)","(723,524)"
,"5,993,305","5,820,238"
Other receivables,"3,024,375","4,600,085"
Less: provision for impairment losses,"(134,314)","(60,531)"
Prepayments,"325,642","349,314"
Receivables from related companies (Note 35(a)),"718,992","863,040"
,"9,928,000","11,572,146"
Movement in provisions for impairments,,
At 1 July,"784,055","742,075"
Impairment on receivables,"210,505","113,636"
Writeoffs,"(37,720)","(71,656)"
At 30 June,"956,840","784,055"
(b) Company,,
Trade receivables,"590,159","40,868"
Receivables from related companies (Note 35(b)),"3,198,367","5,247,164"
Other receivables,"2,074,170","3,372,091"
Prepayments,-,"2,546"
,"5,862,696","8,662,669"
