Largest 10 Shareholders as at 30th June 2006
"Name Shares Percentage (%)
1 Diageo Kenya Limited 282,181,950 42.82
2 Board of Trustees National Social Secucurity Fund 31,803,847 4.82
3 Diageo Holdings Netherlands B V 30,301,075 4.60
4 Barclays (Kenya) Nominees Limited A/c 9011 20,229,777 3.06
5 Guinness Overseas Limited 17,190,670 2.61
6 Kanaksinh Karsandas Babla & Sandip Kanaksinh Babla 13,193,091 2.00
7 Barclays (Kenya) Nominees Limited
Non-Resident A/c 9057 10,568,865 1.60
8 Barclays (Kenya) Nominees Limited A/c 9326 10,540,295 1.59
9 Kenya Reinsurance Corporation Limited 9,126,740 1.38
10 Kanaksinh Karsandas Babla & Kusum Kanaksinh Babla 7,133,994 1.08
Sub-totals 432,270,304 65.56
Other Shareholders 226,708,326 34.44
658,978,630 100.00"
