Column,2017,2016
Management fees and royalties charged,Kshs'000,Kshs'000
Kenya Breweries Limited,"1,539,268","1,596,324"
UDV (Kenya) Limited,"411,109","384,386"
Uganda Breweries Limited,"127,138","298,735"
East African Maltings Limited,"7,441","13,934"
EABL International Limited,-,"292,407"
East African Beverages (South Sudan) Limited,-,"21,579"
Other related parties,"7,228","130,515"
,"2,092,184","2,737,880"
Purchase of goods and services,,
Kenya Breweries Limited,"3,838,006","923,130"
EABL International Limited,"771,152",-
UDV Kenya Limited,"58,910","17,525"
Diageo Great Britain,"42,272","318,911"
"Diageo North America, Inc.","8,892","19,995"
East African Maltings Limited,"5,023",-
Diageo Ireland Limited,"4,471",-
Uganda Breweries Limited,"4,349","51,874"
Diageo Finance plc,-,"1,066,470"
Serengeti Breweries Limited,-,"233,680"
Other related parties,"5,408","5,247"
,"4,738,483","2,636,832"
