East African Breweries Limited,Column,Column,Column
Interim Financial Report for six months period ended 31 December 2008 (UNAUDITED),,,
Consolidated Profit and Loss Account,,,
,Six months to,Six months to,
,31-Dec-08,31-Dec-07,
,Kshs M,Kshs M,Change %
Net Revenue,"18,096","16,089",12%
Cost of Sales,"(8,948)","(7,290)",23%
Gross profit,"9,148","8,799",4%
Other operating expense,(53),(92),-42%
Selling and distribution costs,"(1,162)","(1,107)",5%
Administrative expenses,"(2,011)","(1,925)",4%
Profit from operations,"5,922","5,675",4%
Net finance income,326,323,1%
Income from associate,517,455,14%
Profit before taxation,"6,765","6,453",5%
Income tax expense,"(1,863)","(1,720)",8%
Profit after taxation,"4,902","4,733",4%
Minority interest,(849),(864),-2%
Net profit,"4,053","3,869",5%
Basic earnings per share,5.13,4.89,5%
Diluted earnings per share,5.13,4.89,5%
Interim dividend per share paid,,2.40,4%
