Column,2017,2016
,Kshs’000,Kshs’000
Diageo Ireland,"2,000,289","2,668,348"
Diageo Great Britain,"918,242","368,996"
Diageo Brands B.V.,"831,586","170,081"
"Diageo North America, Inc","284,266","13,398"
Diageo Scotland Limited,"105,180","160,100"
Diageo Business Services Limited,"67,017","12,353"
Diageo South Africa (Pty) Limited,"30,860",-
Guinness Nigeria Plc,"15,343","15,914"
United Spirits Singapore Pty. Limited,"12,912",-
Diageo Plc,"11,584","457,953"
Guinness Cameroun S A,-,"36,542"
Namibia Breweries Limited,-,"8,341"
Other related parties,"6,094","5,371"
,"4,283,373","3,917,397"
