Column,Share capital,"Share
premium","Share based
payment
reserve","Proposed
dividends","Retained
earnings",Total equity
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Year ended 30 June 2018,,,,,,
At 1 July 2017,"1,581,547","1,691,151",-,"4,349,259","12,516,751","20,138,708"
Total comprehensive income for the year,-,-,-,-,"2,059,353","2,059,353"
"Transactions with owners of the
Company:",,,,,,
Share based payment reserve (Note 17(a)),-,-,"14,584",-,-,"14,584"
Dividends:,,,,,,
- Proposed final for 2018,-,-,-,"4,349,259","(4,349,259)",-
- Interim for 2018,-,-,-,-,"(1,581,548)","(1,581,548)"
- Final for 2017,-,-,-,"(4,349,259)",-,"(4,349,259)"
"Total transactions with owners of the
Company",-,-,"14,584",-,"(5,930,807)","(5,916,223)"
At 30 June 2018,"1,581,547","1,691,151","14,584","4,349,259","8,645,297","16,281,838"
Year ended 30 June 2017,,,,,,
At 1 July 2016,"1,581,547","1,691,151",-,"4,349,259","8,425,555","16,047,512"
Total comprehensive income for the year,-,-,-,-,"10,022,003","10,022,003"
"Transactions with owners of the
Company:",,,,,,
Dividends:,,,,,,
- Proposed final for 2017,-,-,-,"4,349,259","(4,349,259)",-
- Interim for 2016,-,-,-,-,"(1,581,548)","(1,581,548)"
- Final for 2016,-,-,-,"(4,349,259)",-,"(4,349,259)"
"Total transactions with owners of the
Company",-,-,-,-,"(5,930,807)","(5,930,807)"
"Total transactions with owners of the
Company",-,-,-,-,"(5,930,807)","(5,930,807)"
At 30 June 2017,"1,581,547","1,691,151",-,"4,349,259","12,516,751","20,138,708"
