Column,"Freehold
property","Leasehold
buildings",Equipment,"Capital work
in progress",Total
,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000
1 July 2019,"129,599","14,896","333,351","348,640","826,486"
Additions,"182,297",-,"19,463","485,048","686,808"
Disposals,-,-,"(114,774)",-,"(114,774)"
Transfers from capital work in progress,500,-,"72,494","(72,994)",-
Transfers to Group companies,-,-,-,"(695,541)","(695,541)"
At 30 June 2020,"312,396","14,896","310,534","65,153","702,979"
Depreciation and impairment,,,,,
At 1 July 2019,"2,258",877,"274,180",-,"277,315"
On assets disposed,-,-,"(106,189)",-,"(106,189)"
Charge for the year,"2,564",-,"49,024",-,"51,588"
At 30 June 2020,"4,822",877,"217,015",-,"222,714"
Carrying amount at 30 June 2020,"307,574","14,019","93,519","65,153","480,265"
