Column,Column,Year ended 30 June,Column
,,2017,2016
,Note,Kshs ‘000,Kshs ‘000
Revenue,6(b),"7,549,884","3,192,125"
Cost of sales,7(b),"(2,595,378)","(266,950)"
Gross profit,,"4,954,506","2,925,175"
Selling and distribution costs,8,"(15,395)",-
Administrative expenses,9(b),"(1,893,385)","(2,495,208)"
"Other (expenses)/income, net",10(b),"(904,767)","2,725,948"
Finance income,13(b),"1,619,077","1,862,705"
Finance costs,13(b),"(4,019,349)","(4,778,835)"
Dividend income,,"9,723,594","10,103,583"
Profit before income tax,11,"9,464,281","10,343,368"
Income tax credit/(expense),14(b),"557,722","(205,779)"
Profit for the year,,"10,022,003","10,137,589"
Profit for the year,,"10,022,003","10,137,589"
"Other comprehensive income, net of tax",,-,-
Total comprehensive income for the year,,"10,022,003","10,137,589"
