Column,Country of incorporation,"Effective
ownership
interest",Book value,Column
,,,30-Jun-18,30-Jun-17
,,,Kshs'000,Kshs'000
Kenya Breweries Limited,Kenya,100%,"22,377,809","22,377,809"
Serengeti Breweries Limited,Tanzania,72.5%,"15,992,891","4,942,998"
Uganda Breweries Limited,Uganda,98%,"687,648","687,648"
UDV (Kenya) Limited,Kenya,46%,"589,410","589,410"
International Distillers Uganda Limited,Uganda,100%,"300,000","300,000"
EABL International Limited,Kenya,100%,"150,000","150,000"
EABL Tanzania Limited,Tanzania,100%,"5,610","5,610"
East African Breweries (Rwanda) Limited,Rwanda,100%,"1,337",-
East African Beverages (South Sudan) Limited,South Sudan,99%,299,299
Salopia Limited,Kenya,100%,200,200
Allsopps (EA) Sales Limited,Kenya,100%,3,3
East African Breweries (Mauritius) Limited,Mauritius,100%,-,-
East African Maltings Limited,Kenya,100%,-,-
East African Maltings (Uganda) Limited,Uganda,100%,-,-
Kenya Liquor Distributors Limited,Kenya,100%,-,-
Harp Distributors Limited,Kenya,100%,-,-
International Distillers Kenya Limited,Kenya,100%,-,-
Kenya Distillers Limited,Kenya,100%,-,-
Gilbeys East Africa Limited,Kenya,100%,-,-
Net book amount,,,"40,105,207","29,053,977"
