Column,2018,2017
(a) Group,Kshs’000,Kshs’000
At the beginning of the year,"1,791,410","1,303,190"
Charge to profit or loss,"901,377","439,340"
Under provision of deferred income tax in prior year,"36,441","112,214"
Effect of change in exchange rates,"(191,109)","(63,334)"
Total deferred income tax movement,"746,709","488,220"
At the end of the year,"2,538,119","1,791,410"
Analysed as follows:,,
Deferred income tax liabilities,"3,264,233","5,095,988"
Deferred income tax assets,"(726,114)","(3,304,578)"
At the end of the year,"2,538,119","1,791,410"
(b) Company,,
At the beginning of the year,"(1,424,232)","(1,652,632)"
Charge to profit or loss,"672,313","144,984"
Under provision of deferred income tax in prior year,"25,805","83,416"
Total deferred income tax movement,"698,118","228,400"
At the end of the year,"(726,114)","(1,424,232)"
