Group,2017,2016
,Kshs’000,Kshs’000
"Not due,","4,775,144","7,855,747"
Past due but not impaired:,,
-by up to 30 days,"2,607,949","1,488,401"
-by 31 to 120 days,"1,872,054","1,253,331"
-over 121 days,"327,210","619,008"
Trade and other receivables,"9,582,357","11,216,487"
Receivables individually determined to be impaired:,,
Carrying amount before provision for impairment loss,"956,840","784,055"
Provision for impairment loss,"(956,840)","(784,055)"
Net carrying amount,"9,582,357","11,216,487"
Company,,
"Not due,","3,670,799","6,805,013"
Past due but not impaired:,,
-by upto 30 days,"2,016,411","1,757,298"
-by 31 to 120 days,"175,486","91,465"
Trade and other receivables,"5,862,696","8,653,776"
Receivables individually determined to be impaired:,,
Carrying amount before provision for impairment loss,-,-
Provision for impairment loss,-,-
Net carrying amount,"5,862,696","8,653,776"
