Largest 10 Shareholders as at 30th June 2007
"Name No. of shares %
1 Diageo Kenya Limited 282,181,950 42.82
2 Board of Trustees NSSF Board 30,919,600 4.69
3 Diageo Holdings Netherlands B.V. 29,960,330 4.55
4 Guiness Overseas Ltd 17,190,670 2.61
5 Barclays Bank Kenya Nominee Ltd. A/c 9011 16,483,777 2.50
6 Stanbic Nominees Kenya Ltd - A/c NR 70001 15,553,465 2.36
7 Barclays (K) Nominees Ltd A/c 9326 10,540,295 1.60
8 Kanaksinh Karsandas & Sandip Kanaksinh Babla 9,174,530 1.39
9 Kenya Reinsurance Corporation Ltd 8,830,640 1.34
10 Barclays (K) Nominees Ltd Non Resident A/c 9002 7,877,349 1.20"
"TOTAL NUMBER OF SHARES 428,712,606 65.06"
"OTHER SHAREHOLDERS 25,635 230,266,024 34.94"
"TOTAL 658,978,630 100.00"
