Column,2017,2016
,Kshs’000,Kshs’000
Profit before income tax,"9,464,281","10,343,368"
Adjustments for:,,
Interest income (Note 13(b)),"(1,619,077)","(1,862,705)"
Interest expense ( Note 13(b) ),"4,019,349","4,778,835"
Depreciation (Note 23 (b)),"90,223","54,222"
Amortisation of intangible asset - software (Note 23(b)),"58,532","(103,800)"
Amortisation of prepaid operating lease rentals (Note 25(b)),71,70
Write off of intangible assets,"69,275",-
Dividend income,"(9,723,594)","(10,103,583)"
Profit on disposal of subsidiary,-,"(2,249,428)"
Release of prior year overprovision of current tax,"786,122",-
"Loss/(gain) on disposal of property, plant and equipment","156,839","(1,077,587)"
Cash generated from/(used in) operations before working capital adjustments,"3,302,021","(220,608)"
Changes in working capital:,,
-Trade and other receivables,"(1,364,307)","1,748,155"
-Inventory,"(31,364)","(2,594)"
-Trade and other payables,"(2,142,062)","8,803,550"
Cash (used in)/generated from operations,"(235,712)","10,328,503"
