GROUP,Column,Column,Column,Column,Column,Column,Column
"Capital
work Network Lease- Vehicles
Network in mainte- hold and
infrastruc- progress nance improve- equi-
ture (CWIP)* spares ments ment Fibre Total
KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m",,,,,,,
"61,915.0","8,556.7",337.7,"1,335.6","34,156.0","27,532.7",,"133,833.7"
–,"49,168.0",–,–,406.3,–,204.3,"49,778.6"
"10,428.8","(32,241.7)",150.1,6.5,"19,348.7","2,307.6",–,–
(299.5),–,–,(12.8),"(1,104.7)",–,–,"(1,417.0)"
(286.5),–,–,–,–,–,–,(286.5)
"(15,042.8)",(144.0),(127.6),(453.0),"(16,976.1)","(1,401.7)",–,"(34,145.2)"
301.4,–,–,12.8,"1,100.7",–,–,"1,414.9"
–,(157.6),–,–,(27.9),–,–,(185.5)
"57,016.4","25,181.4",360.2,889.1,"36,903.0","28,438.6",204.3,"148,993.0"
"253,444.8","25,181.4","1,730.4","7,934.4","138,346.4","35,504.1",204.3,"462,345.8"
"(196,428.4)",–,"(1,370.2)","(7,045.3)","(101,443.4)","(7,065.5)",–,"(313,352.8)"
"57,016.4","25,181.4",360.2,889.1,"36,903.0","28,438.6",204.3,"148,993.0"
