Income Statement - Projected (Kshs m),Column,Column,Column,Column,Column,Column,Column,Column
,FY 15,FY 16,FY 17,FY 18,FY 19,FY 20,FY 21,Total
Fixed data revenue,,-,906,906,906,604,,"3,323"
Service Revenue,,-,906,906,906,604,-,"3,323"
Total revenue,,-,906,906,906,604,-,"3,323"
Other income,,"9,280",773,,,,,"10,053"
Contribution margin,,"9,280","1,679",906,906,604,-,"13,376"
Network costs,,-,(606),( 606),(606),(404),,"(2,223)"
Other operating costs,(214),"(9,280)",(773),-,-,-,-,"(10,267)"
EBITDA,(214),-,300,300,300,200,-,886
Taxation,,-,(77),(77),(77),(51),,(282)
Net Income,(214),-,223,223,223,149,-,604
Cashflow - Projected (Kshs m),,,,,,,,
Trading Cash Flow,(214),-,300,300,300,200,-,886
Working Capital Changes,(903),"(5,705)","2,493",925,925,"1,276",988,-
Movement in Stocks,"(7,227)","7,227",-,-,-,-,-,-
Movement in Debtors,-,"(9,280)","5,165",925,925,"1,276",988,-
Movement in Creditors,"6,324","(3,652)","(2,672)",-,-,-,-,-
Operating Cash Flow/ Free Cash Flow,"(1,117)","(5,705)","2,793","1,225","1,225","1,476",988,886
