TRANSACTION LEGAL ADVISORS,Column,ADVERTISING AGENTS,Column
"Stephenson Harwood
One St Paul's Churchyard
London EC4M 8SH
Tel: +44 207 809 2301",,"Redsky
Unit C, Nairobi Business Park,
Ngong Road,
P.O. Box 34537-00100
Nairobi
Tel: +254-20-3872950",
LEGAL ADVISORS TO THE COMPANY,,,
"Daly & Figgis
Lonhro House, 8th Floor
Standard Street
P.O. Box 40034
Nairobi
Tel.: +254-20-310304",,,
INTERNATIONAL LEGAL ADVISORS TO THE COMPANY,,,
"Linklaters LLP
One Silk Street
London E12Y 8HQ
Tel.: +44-20-7456-2000",,,
LEGAL ADVISORS TO SOLE GLOBAL COORDINATOR AND SOLE BOOKRUNNER,,,
"Davis Polk & Wardwell
99 Gresham Street
London EC2V 7NG
Tel: +44-20-7418-1300",,,
RECEIVING BANKS,,,
"Citibank NA Kenya
Upper Hill Road,
P.O. Box 30711-
00100,
Nairobi
Tel: +254-20-
2711221","National Bank of Kenya
National Bank Building
Harambee Avenue
P.O. Box 728666-0200,
Nairobi
Tel: +254-20-2828000",,"Equity Bank
NHIF Building, 14th Floor,
P.O. Box 75104-00200,
Nairobi
Tel: +254-20-242736620/17"
"Postbank
PostBank House, Banda Street
P.O. Box 30311-00100
Nairobi
Tel: +254-20-229551",,,
