SAFARICOM LIMITED Summarised audited results for the twelve months to 31st March,Column,Column,Column
2007,,,
,Twelve months to,Twelve months to,%
Profit and Loss Ksh 000s,,,
,31st March 2007,31st March 2006,Change
Turnover,,,
,"34,971,944","34,971,944",35.7%
Cost of sales,"(18,155,340)","(12,915,720)",40.6%
Gross profit,"29,292,150","22,056,224",32.8%
Operating expenses,"(11,503,631)","(9,280,055)",24.0%
Operating profit,"17,788,519","12,776,169",39.2%
Financing costs,"(595,780)","(565,626)",5.3%
Profit before income tax,"17,192,739","12,210,543",40.8%
Taxation,"(5,182,308)","(3,785,087)",36.9%
Profit after taxation,"12,010,431","8,425,456",42.5%
Proposed dividend,"4,000,000","2,991,673",33.7%
Balance Sheet Ksh 000s,At 31st March,At 31st March,
,2007,2006,
Capital Employed,,,
Shareholders’ Funds,"32,789,307","23,770,549",
Non Current Borrowings,"10,435,000","9,235,000",
Represented by,,,
Non Current Assets,"46,258,495","36,411,205",
Current Assets:,,,
