SAFARICOM LIMITED Summarised audited results for the twelve months to 31st March,Column,Column,Column
2008,,,
,2008,2007,% Increase
,KshBn,KshBn,
Revenues,61.369,47.447,29.3
EBITDA,28.152,24.508,14.9
Operating Profit,18.469,17.788,3.8
Net Income,13.853,12.010,15.3
Gross Capital Expenditure,23.014,16.33.,40.9
Cash From Operating Activities,29.553,21.110,40.0
Net Borrowings,9.199,10.435,(11.8)
,000s,000s,
Opening Subscribers,6.081,3.944,54.2
Net Additions,4.150,2.137,94.2
Closing Subscribers,10.231,6.081,68.2
,Ksh,Ksh,
Average Revenue Per User,616,799,(22.9)
