Transaction Range (KShs),Column,Transaction Type and Customer Charges (Kshs),Column
Min,Max,"Transfer to other
MPesa users","Withdrawal from MPesa
agents"
10,49,1,N/A
50,100,3,10
101,500,11,27
501,"1,000",15,27
"1,001","1,500",25,27
"1,501","2,500",40,27
"2,501","3,500",55,49
"3,501","5,000",60,66
"5,001","7,500",75,82
"7,501","10,000",85,110
"10,001","15,000",95,159
"15,001","20,000",100,176
"20,001","25,000",110,187
"25,001","30,000",110,187
"30,001","35,000",110,187
"35,001","40,000",110,275
"40,001","45,000",110,275
"45,001","50,000",110,275
"50,001","70,000",110,330
