Column,Safaricom,Column,Column,Airtel and YU,Column,Column,Orange,Column,Column,Equitel,Column,Column
,Mar ‘14,Mar ‘15,%,Mar ‘14,Mar ‘15,%,Mar ‘14,Mar ‘15,%,Mar ‘14,Mar ‘15,%
"Market Share by
Subscribers (%)",67.8,67.1,-1%,24.2,20.2,-17%,8,10.8,35%,,1.9,N/A
"Mobile
Subscribers
(Millions)",21.6,23.3,8%,7.8,7.0,-10%,2.5,3.8,52%,,0.7,N/A
"Market Share by
Voice Minutes (%)",78.5,71.7,-9%,18.5,21,14%,3.1,7.1,129%,,0.2,N/A
"Total Minutes
(Billions)",6.02,6.28,4%,1.42,1.84,30%,0.23,0.62,170%,,0.009,N/A
"SMS Market Share
(%)",96.4,91.6,-5%,3.1,6.9,123%,0.4,1.3,225%,,0.1,N/A
Total SMS (Billions),6.0,6.0,0%,0.2,0.45,125%,0.03,0.09,200%,,,
"Mobile Data
market share (%)",72.1,65,-10%,17.6,18.5,5%,10.3,13,26%,,3.6,N/A
"Total Mobile Data
Subscriptions
(Millions)",9.6,12.1,26%,2.3,3.5,52%,1.4,2.5,79%,,0.6,N/A
,*Oct ‘14,Mar ‘15,%,Oct ‘14,Mar ‘15,%,Oct ‘14,Mar ‘15,%,Oct ‘14,Mar ‘15,%
"Mobile Money
Subscribers
(millions)",20.1,20.6,2%,3.2,3.1,-3%,0.19,0.19,0%,0,0.6,N/A
"Mobile Money
Market Share (%)",77.3,76.2,-1%,12.3,11.5,-7%,7.3,7.2,-1%,0,2.2,N/A
