Voice revenue,"80,541.1","81,053.9","83,211.8","82,552.0","86,529.9"
Messaging revenue,"12,319.2","11,375.6","10,876.7","13,602.4","15,403.5"
Mobile data revenue,"67,404.3","53,952.4","48,441.0","44,793.2","40,157.5"
M-PESA revenue,"140,006.7","117,192.2","107,691.8","82,647.4","84,438.0"
Mobile incoming revenue,"8,567.6","8,109.5","9,848.2","9,470.4","8,481.8"
Other mobile service revenue,"11,552.0","10,550.8","9,795.3","7,779.2","7,236.5"
Mobile service revenue,"320,390.9","282,234.4","269,864.8","240,844.6","242,247.2"
Fixed line and wholesale transit revenue,"14,962.2","13,457.9","11,242.5","9,507.2","8,966.9"
Service revenue,"335,353.1","295,692.3","281,107.3","250,351.8","251,214.1"
Handset revenue and other revenue,"10,540.3","11,449.8","14,334.0","12,316.5","10,487.8"
Construction revenue,–,–,–,837.7,583.9
Other income,"3,553.8","3,762.7","2,636.6",520.5,269.9
Total revenue,"349,447.2","310,904.8","298,077.9","264,026.5","262,555.7"
Direct costs,"(97,046.9)","(92,232.1)","(91,467.8)","(80,015.1)","(74,701.0)"
Expected credit loss (ECL) on financial assets,"(5,807.4)","(4,725.3)","(2,361.2)","(3,009.7)","(1,669.6)"
Construction costs,–,–,–,-837.7,(583.9)
Contribution margin,"246,592.9","213,947.4","204,248.9","180,164.0","185,601.2"
Other operating expenses,"(83,300.3)","(74,085.0)","(55,187.0)","(46,034.8)","(47,559.6)"
"Earnings before interest, tax, depreciation and
amortisation (EBITDA)","163,292.6","139,862.4","149,061.9","134,129.2","138,041.6"
Depreciation & amortisation,"(82,947.8)","(54,865.0)","(39,933.3)","(37,964.3)","(36,547.7)"
Operating profit (EBIT),"80,344.8","84,997.4","109,128.6","96,164.9","101,493.8"
Net finance income/(cost),"(16,641.5)","(7,087.1)","(6,439.2)","(2,022.4)",922.2
Share of associate & Joint venture profit/(loss),"(1,379.1)",(38.2),(476.0),(507.0),"3,357.0"
Fair value adjustment to investment properties,-,90.0,-,-,-
Hyperinflationary monetary gain,"22,363.2","10,383.1",-,-,-
Profit before income tax,"84,687.4","88,345.2","102,213.4","93,635.5","105,773.0"
Income tax expense,"(42,029.0)","(35,862.4)","(34,717.3)","(24,959.3)","(32,115.1)"
Profit after tax,"42,658.4","52,482.8","67,496.1","68,676.2","73,657.9"
Attributable to:,,,,,
Equity holders of the parent,"62,991.7","62,268.9","69,648.1","68,676.2","73,657.9"
Non-controlling interests,"(20,333.3)","(9,786.1)","(2,152.0)",-,-
Profit for the year,"42,658.4","52,482.8","67,496.1","68,676.2","73,657.9"
Basic and diluted earnings per share (EPS)*,1.57,1.55,1.74,1.71,1.84
Profit for the year,"42,658.4","52,482.8","67,496.1","68,676.2","73,657.9"
Other comprehensive income/(loss):,,,,,
Exchange differences on translating foreign operations,"(7,278.1)","10,260.0","(9,536.3)",-,-
Total comprehensive income for the year,"35,380.3","62,742.8","57,959.8","68,676.2","73,657.9"
Total comprehensive income for the year,,,,,
Equity holders of the parent,"59,230.9","67,984.7","64,335.4",-,-
Non-controlling interests,"(23,850.6)","(5,241.9)","(6,375.6)",-,-
Total comprehensive income for year,"35,380.30","62,742.8","57,959.8","68,676.2","73,657.9"
Free cash flow,"19,867.3","23,853.0","63,669.7","64,515.6","70,273.4"
Ordinary dividend (paid/proposed) (KShs Mn),"48,078.5","48,078.4","55,691.0","58,896.2","56,091.6"
Ordinary dividend per share (KShs),1.20,1.20,1.39,1.37,1.40
