Column,Column,Column,√,Column,√
Robert Collymore,CEO and Executive Director,√,√,√,√
Michael Joseph,Non-Executive Director,√,√,√,√
Susan Mudhune,Non-Executive Director,√,√,√,√
Nancy Macharia,Non-Executive Director,√,√,√,√
John Otty,Non-Executive Director,√,√,√,√
Serpil Timuray,Non-Executive Director,√,√,√,√
Gianluca Ventura,Non-Executive Director,√,√,√,√
Esther Koimett,Alternate Director,-,√,√,√
John Tombleson,CFO,√,√,√,√
Enid Muriuki,Company Secretary,√,√,√,√
Kathryne Maundu,Livingstone Associates,-,-,-,√
