Kshs. Billion,HY18,Column,HY17,% Increase/
,,,,(Decrease)
"Voice revenue
Voice- Outgoing
Voice- Incoming
M-PESA revenue
SMS revenue
Mobile data revenue
Fixed service revenue
Other service revenue
Service Revenue
Handset revenue and other revenue
Construction revenue
Total Revenue
Other Income
Direct costs
Construction costs
Contribution margin
Contribution margin %
Operating costs
Forex Loss on trading activities
Opex & forex loss % total revenue
EBITDA
EBITDA margin %*
Depreciation, impairment & amortization
EBIT
EBIT Margin %*
Net Financing, Forex and Fair Value Losses
Share of associate profit
Earnings Before taxation
Taxation
Net Income
Net Income %*
Earnings per share (Kshs)",,47.35,"45.70
42.31
3.39
25.87
8.63
13.40
2.40
2.01
98.01
4.01
0.08
102.10
2.28
(32.50)
(0.08)
71.80
68.8%
(21.00)
0.01
20.1%
50.81
48.7%
(16.35)
34.46
33.0%
0.02
0.01
34.49
(10.56)
23.93
22.9%
0.60",3.6
,,44.25,,4.6
,,3.10,,(8.4)
,,30.05,,16.2
,,8.92,,3.4
,,17.55,,31.0
,,3.23,,34.7
,,2.63,,30.7
,,109.73,,12.0
,,4.49,,11.9
,,0.20,,>100
,,114.43,,12.1
,,0.32,,(86.0)
,,(35.43),,9.0
,,(0.20),,>100
,,79.11,,10.2
,,69.1%,,0.2ppts
,,(24.76),,17.9
,,(0.08),,(<100.0)
,,21.7%,,1.6
,,54.27,,6.8
,,47.4%,,(1.3ppts)
,,(16.74),,2.4
,,37.53,,8.9
,,32.8%,,(0.3ppts)
,,0.28,,>100
,,0.01,,(43.6)
,,37.82,,9.6
,,(11.61),,10.0
,,26.20,,9.5
,,22.9%,,(0.1ppts)
,,0.65,,9.0
