Board Member,Position,12th May 2014,15th Sep 2014,4th Nov 2014,6th Mar 2015
Nicholas Nganga,Chairman,√,√,√,√
Michael Joseph,Non-Executive Director,√,√,√,√
Susan Mudhune,Non-Executive Director,√,√,-,√
Nancy Macharia,Non-Executive Director,√,√,√,√
Esther Koimett,Alternate Director to Henry Rotich,√,√,√,√
Sunil Sood,Non-Executive Director,√,-,√,"Resigned on
6th March 2015"
John Otty,Non-Executive Director,√,√,√,√
Serpil Timuray,Non-Executive Director,√,√,√,√
Gianluca Ventura,Non-Executive Director,-,-,-,"Appointed on
6th March 2015"
Robert Collymore,CEO,√,√,√,√
John Tombleson,CFO,√,√,√,√
Enid Muriuki,Company Secretary,√,√,√,√
