Fuliza,FY21,FY20,% YoY
Value of Disbursements (KShs Bn),351.2,244.6,43.6%
Value of Repayment (KShs Bn),345.7,241.7,43.0%
% Repayment vs Disbursal,98.4%,98.8%,(0.4ppt)
Average Ticket Size (KShs),446.2,622.7,(28.3%)
Revenue (KShs Bn),4.5,2.8,61.3%
Daily active Fuliza customers (Mn),1.4,0.7,>100.0%
KCB-M-PESA,,,
Value of Loan Disbursements (KShs Bn),51.1,116.6,(56.2%)
Value of Loan Repayments (KShs Bn),51.3,121.7,(57.9%)
% Repayment vs Disbursal,100.3%,104.4%,(4.0ppt)
Average Loan (KShs),"8,724.7","8,123.4",7.4%
Revenue (KShs Bn),0.8,1.2,(31.2%)
One month active KCB M-PESA customers (Mn),3.3,4.8,(32.1%)
M-Shwari,,,
Value of Loan Disbursements (KShs Bn),94.5,129.6,(27.1%)
Value of Loan Repayments (KShs Bn),53.9,78.4,(31.3%)
% Repayment vs Disbursal,57.1%,60.5%,(3.5ppt)
Average Loan (KShs),"5,575.0","4,415.3",26.3%
Revenue (KShs Bn),2.2,1.9,15.5%
One-month active M-Shwari customers (Mn),4.0,4.7,(14.7%)
