Column,Safaricom,Column,Column,Airtel and YU,Column,Column,Orange,Column,Column,Equitel
,Mar ‘15,Mar ‘14,%,Mar ‘15,Mar ‘14,%,Mar ‘15,Mar ‘14,%,Mar ‘15
Market share by subscribers (%),67.1,67.8,-1%,20.2,24.2,-17%,10.8,8,35%,1.9
Mobile subscribers (millions),23.3,21.6,8%,7,7.8,-10%,3.8,2.5,52%,0.7
Market share by Voice minutes (%),71.7,78.5,-9%,21,18.5,14%,7.1,3.1,129%,0.2
Total minutes (billions),6.28,6.02,4%,1.84,1.42,30%,0.62,0.23,170%,0.009
SMS market share (%),91.6,96.4,-5%,6.9,3.1,123%,1.3,0.4,225%,0.1
Total SMS (billions),6,6,0%,0.45,0.2,125%,0.09,0.03,200%,-
Mobile Data market share (%),65,72.1,-10%,18.5,17.6,5%,13,10.3,26%,3.6
"Total Mobile Data subscriptions
(millions)",12.1,9.6,26%,3.5,2.3,52%,2.5,1.4,79%,0.6
,Mar ‘15,*Oct ‘14,%,Mar ‘15,Oct ‘14,%,Mar ‘15,Oct ‘14,%,Mar ‘15
Mobile Money subscribers (millions),20.6,20.1,2%,3.1,3.2,-3%,0.19,0.19,0%,0.6
Mobile Money market share (%),76.2,77.3,-1%,11.5,12.3,-7%,7.2,7.3,-1%,2.2
