"Shs Bn
HY 18","HY 17
Reported","HY 17
Normalized*","YoY%
Reported","YoY%
Normalized"
Service Revenue 109.73,98.01,98.01,12.0%,12.0%
Handset and other revenue 4.49,4.01,4.01,11.9%,11.9%
,0.08,0.08,165.0%,165.0%
Total Revenue 114.43,102.10,102.10,12.1%,12.1%
,2.28,0.05,(86.0%),570.9%
Direct costs (35.43),"(32.50)
H",(32.50),9.0%,9.0%
,(0.08),(0.08),152.3%,152.3%
Contribution margin 79.11,71.80,69.57,10.2%,13.7%
Direct costs,,,,
,(8.51),(8.51),13.1%,13.1%
Airtime Commissions (5.79),(5.49),(5.49),5.5%,5.5%
,(4.96),(4.96),(0.8%),(0.8%)
Interconnect & Roaming (3.62),(3.55),(3.55),2.0%,2.0%
,(2.69),(2.69),28.1%,28.1%
Customer Acquisition and Retention (3.62),(3.92),(3.92),(7.7%),(7.7%)
,(2.92),(2.92),(3.2%),(3.2%)
Other (1.59),(0.46),(0.46),245.9%,245.9%
Total (35.43),(32.50),(32.50),9.0%,9.0%
