"Change
Management",• CEO townhalls,"• 3,062 people"
,• Agile bootcamps,"• Various business units
• Senior leadership teams"
,"• Five Agile townhalls
• 4 Companywide webinars","• Average participation:
998 people"
,• Service-culture training,• 370 people
,"• Safaricom Business School (SBS) CO
training",• 838 completions
"Psychological
Safety","• Translating Amazing People Leader
Programme – Creating Psychological Safety",• 491 trained
,• Five leadership forums,• 221 average attendance
,• Three Champions sessions,• 63 attendance
"Career
development","• One More Skill Webinars
• Quarterly Safaricom Innovations
Hackathons","• 31 Safaricom Heroes validated
• 1 person selected and awarded by
Vodacom"
,• Pamoja Initiative drive,• 207 applications
,• Vodafone Customer Excellence Awards,• 1 winner
Customer Obsession*,"• Monthly Customer Obsession League of
Champions awards",• various business units
,• Monthly customer story days,"• 1,114 employees"
,• Spirit Champions,• 63 employees
,• Service recovery training,• 300 people
,• Service-culture training,"• 2,093 trained"
,• eLearning training,• 838 completions
