Name,Definition
FTTH,"Fibre-To-The-Home provides an end-to-end fibre optic connection, the full
distance from the exchange to the customer's premises."
Free Cash Flow ('FCF'),"Operating free cash flow after cash flows in relation to taxation, interest and
dividends received from associates and investments and dividends paid to
non-controlling shareholders in subsidiaries, but before restructuring costs
arising from discrete restructuring plans and licence and spectrum payments."
IFRS,International Financial Reporting Standards.
IFRS 15,"International Financial Reporting Standard 15 “Revenue from Contracts with
Customers”. The new accounting standard adopted by the Group on 1 April
2018 and applied to the Group's statutory results for the year ended 31 March
2019."
Internet of Things ('IoT'),"The network of physical objects embedded with electronics, software, sensors
and network connectivity, including built-in mobile SIM cards, that enables
these objects to collect data and exchange communications with one another
or a database."
IP,"Internet Protocol is the format in which data is sent from one computer to
another on the internet."
IP-VPN,"A Virtual Private Network (‘VPN’) is a network that uses a shared
telecommunications infrastructure, such as the internet, to provide remote
offices or individual users with secure access to their organisation's network."
Mobile broadband,"Mobile broadband allows internet access through a browser or a native
application using any portable or mobile device such as smartphone, tablet or
laptop connected to a cellular network."
Mobile customer,"A mobile customer is defined as a Subscriber Identity Module (‘SIM’), or in
territories where SIMs do not exist, a unique mobile telephone number, which
has access to the network for any purpose, including data only usage."
Mobile customer revenue,"Represents revenue from mobile customers from bundles that include a
specified number of minutes, messages or megabytes of data that can
be used for no additional charge (in-bundle) and revenues from minutes,
messages or megabytes of data which are in excess of the amount included
in customer bundles (out-of-bundle). Mobile in-bundle and out-of-bundle
revenues, previously disclosed separately, are now combined to simplify the
presentation of the Group's results."
Mobile service revenue,Service revenue relating to the provision of mobile services.
Net Promoter Score ('NPS'),"Net Promoter Score is a customer loyalty metric used to monitor customer
satisfaction."
Operating expenses,"Operating expenses comprise primarily sales and distribution costs, network
and IT related expenditure and business support costs."
Operating free cash flow,"Cash generated from operations after cash payments for capital additions
(excludes capital licence and spectrum payments) and cash receipts from the
disposal of intangible assets and property, plant and equipment, but before
restructuring costs arising from discrete restructuring plans."
Penetration,"Number of SIMs in a country as a percentage of the country’s population.
Penetration can be in excess of 100% due to customers owning more than
one SIM."
